rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score,ranking_score,from_overall_level,to_overall_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,from_driver_subtype,to_driver_subtype,from_root_category,to_root_category,allergen_change,second_review_required
B02_019,23,37,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.645,0.333,1.000,0.000,0.500,0.500,0.584,high,high,3.750000,1.125000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_020,25,26,direct_swap,"Remplacez Pois cassé, bouilli/cuit à l'eau par Edamame, cuit dans les usages similaires.","Replace Split pea, boiled/cooked in water with Edamame, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,"","",0.707,0.333,0.000,0.000,0.500,0.500,0.580,high,moderate,2.057143,1.000000,0.166700,gos,gos,ciqual_grp_02,legumineuses,t,t
B02_021,40,39,direct_swap,"Remplacez Chou-fleur, bouilli/cuit à l'eau par Champignon, pleurote, crue dans les usages similaires.","Replace Cauliflower, boiled with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_rapide,legume_principal,francaise,"",0.703,0.000,0.000,1.000,0.500,0.500,0.577,high,moderate,1.181250,1.000000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_022,10,1,direct_swap,"Remplacez Poireau, partie blanche crue par Ail, cru dans les usages similaires.","Replace Leek, white part raw with Garlic, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.689,0.333,0.000,0.000,0.500,0.500,0.566,high,high,8.114286,1.700000,0.833300,fructan,fructan,legumes_et_verdures,ciqual_grp_10,f,t
B02_023,24,21,direct_swap,"Remplacez Haricot noir, cuit par Lentille brune, cuite dans les usages similaires.","Replace Black beans, cooked with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.548,0.333,1.000,1.000,0.500,0.500,0.561,high,high,2.442857,1.500000,0.166700,gos,gos,legumineuses,legumineuses,f,t
B02_024,24,18,direct_swap,"Remplacez Haricot noir, cuit par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Black beans, cooked with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.548,0.333,1.000,1.000,0.500,0.500,0.561,high,high,2.442857,1.500000,0.166700,gos,gos,legumineuses,ciqual_grp_02,f,t
B02_025,10,5,direct_swap,"Remplacez Poireau, partie blanche crue par Oignon, cuit dans les usages similaires.","Replace Leek, white part raw with Onion, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.668,0.333,0.000,0.000,0.500,0.500,0.551,high,high,8.114286,1.200000,0.500000,fructan,fructan,legumes_et_verdures,ciqual_grp_02,f,t
B02_026,10,9,direct_swap,"Remplacez Poireau, partie blanche crue par Échalote, bulbe cru dans les usages similaires.","Replace Leek, white part raw with Shallot, raw bulb for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.530,1.000,0.000,0.000,0.500,0.500,0.548,high,high,8.114286,5.933333,0.166700,fructan,fructan,legumes_et_verdures,legumes_et_verdures,f,t
B02_027,25,21,direct_swap,"Remplacez Pois cassé, bouilli/cuit à l'eau par Lentille brune, cuite dans les usages similaires.","Replace Split pea, boiled/cooked in water with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.531,0.333,1.000,1.000,0.500,0.500,0.548,high,high,2.057143,1.500000,0.166700,gos,gos,ciqual_grp_02,legumineuses,f,t
B02_028,25,18,direct_swap,"Remplacez Pois cassé, bouilli/cuit à l'eau par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Split pea, boiled/cooked in water with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.531,0.333,1.000,1.000,0.500,0.500,0.548,high,high,2.057143,1.500000,0.166700,gos,gos,ciqual_grp_02,ciqual_grp_02,f,t
B02_029,9,5,direct_swap,"Remplacez Échalote, bulbe cru par Oignon, cuit dans les usages similaires.","Replace Shallot, raw bulb with Onion, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.660,0.333,0.000,0.000,0.500,0.500,0.545,high,high,5.933333,1.200000,0.500000,fructan,fructan,legumes_et_verdures,ciqual_grp_02,f,t
B02_030,19,38,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Shiitake, cru dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Shiitake mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,"","",0.586,0.333,1.000,0.000,0.500,0.500,0.539,high,high,4.166667,1.500000,0.166700,mannitol,mannitol,ciqual_grp_02,legumes_et_verdures,f,t
B02_031,19,40,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.647,0.333,0.000,0.000,0.500,0.500,0.536,high,high,4.166667,1.181250,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_032,23,38,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Shiitake, cru dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Shiitake mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,"","",0.580,0.333,1.000,0.000,0.500,0.500,0.535,high,high,3.750000,1.500000,0.166700,mannitol,mannitol,ciqual_grp_02,legumes_et_verdures,f,t
B02_033,22,38,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Shiitake, cru dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Shiitake mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,"","",0.580,0.333,1.000,0.000,0.500,0.500,0.535,high,high,3.750000,1.500000,0.166700,mannitol,mannitol,ciqual_grp_02,legumes_et_verdures,f,t
B02_034,24,25,direct_swap,"Remplacez Haricot noir, cuit par Pois cassé, bouilli/cuit à l'eau dans les usages similaires.","Replace Black beans, cooked with Split pea, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.514,0.333,1.000,1.000,0.500,0.500,0.535,high,high,2.442857,2.057143,0.166700,gos,gos,legumineuses,ciqual_grp_02,f,t
B02_035,23,40,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.643,0.333,0.000,0.000,0.500,0.500,0.532,high,high,3.750000,1.181250,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_036,22,40,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.643,0.333,0.000,0.000,0.500,0.500,0.532,high,high,3.750000,1.181250,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_037,7,1,direct_swap,"Remplacez Oignon nouveau, bulbe blanc par Ail, cru dans les usages similaires.","Replace Spring onion, white bulb with Garlic, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.639,0.333,0.000,0.000,0.500,0.500,0.529,high,high,3.150000,1.700000,0.833300,fructan,fructan,legumes_et_verdures,ciqual_grp_10,f,t
B02_038,7,5,direct_swap,"Remplacez Oignon nouveau, bulbe blanc par Oignon, cuit dans les usages similaires.","Replace Spring onion, white bulb with Onion, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.633,0.333,0.000,0.000,0.500,0.500,0.525,high,high,3.150000,1.200000,0.500000,fructan,fructan,legumes_et_verdures,ciqual_grp_02,f,t
B02_039,27,20,direct_swap,"Remplacez Soja, graine entiere cuite par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Soybeans, whole cooked with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,"","",0.620,0.000,0.000,1.000,0.500,0.500,0.515,high,high,3.000000,1.400000,0.500000,gos,gos,legumineuses,ciqual_grp_02,t,t
B02_040,27,24,direct_swap,"Remplacez Soja, graine entiere cuite par Haricot noir, cuit dans les usages similaires.","Replace Soybeans, whole cooked with Black beans, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,"","",0.518,0.333,0.000,1.000,0.500,0.500,0.488,high,high,3.000000,2.442857,0.166700,gos,gos,legumineuses,legumineuses,t,t
