rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score,ranking_score,from_overall_level,to_overall_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,from_root_category,to_root_category,allergen_change,second_review_required
B01_015,19,18,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.586,1.000,1.000,1.000,0.500,0.500,0.690,high,high,4.166667,1.500000,0.166700,ciqual_grp_02,ciqual_grp_02,f,t
B01_016,19,22,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Haricot blanc, bouilli/cuit à l'eau dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Haricot bean, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.585,1.000,1.000,1.000,0.500,0.500,0.689,high,high,4.166667,3.750000,0.833300,ciqual_grp_02,ciqual_grp_02,f,t
B01_017,7,42,direct_swap,"Remplacez Oignon nouveau, bulbe blanc par Céleri branche, cru dans les usages similaires.","Replace Spring onion, white bulb with Celery stalk, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,base_aromatique,francaise,"",0.782,0.000,1.000,1.000,0.500,0.500,0.687,high,moderate,3.150000,1.000000,0.666700,legumes_et_verdures,ciqual_grp_02,f,t
B01_018,23,21,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Lentille brune, cuite dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.580,1.000,1.000,1.000,0.500,0.500,0.685,high,high,3.750000,1.500000,0.166700,ciqual_grp_02,legumineuses,f,t
B01_019,22,21,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Lentille brune, cuite dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.580,1.000,1.000,1.000,0.500,0.500,0.685,high,high,3.750000,1.500000,0.166700,ciqual_grp_02,legumineuses,f,t
B01_020,22,18,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.580,1.000,1.000,1.000,0.500,0.500,0.685,high,high,3.750000,1.500000,0.166700,ciqual_grp_02,ciqual_grp_02,f,t
B01_021,23,18,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.580,1.000,1.000,1.000,0.500,0.500,0.685,high,high,3.750000,1.500000,0.166700,ciqual_grp_02,ciqual_grp_02,f,t
B01_022,38,37,direct_swap,"Remplacez Shiitake, cru par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Shiitake mushroom, raw with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_rapide,legume_principal,"","",0.578,1.000,1.000,1.000,0.500,0.500,0.683,high,high,1.500000,1.125000,0.666700,legumes_et_verdures,ciqual_grp_02,f,t
B01_023,15,14,direct_swap,"Remplacez Orge perlée, bouilli/cuite à l'eau, sans sel ajouté par Seigle complet, cru dans les usages similaires.","Replace Pearled barley, boiled/cooked in water, no added salt with Rye, wholegrain, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,feculent_base,francaise,"",0.574,1.000,1.000,1.000,0.500,0.500,0.680,high,high,1.093750,1.066667,0.833300,ciqual_grp_03,ciqual_grp_03,f,t
B01_024,23,22,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Haricot blanc, bouilli/cuit à l'eau dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Haricot bean, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.570,1.000,1.000,1.000,0.500,0.500,0.678,high,high,3.750000,3.750000,0.833300,ciqual_grp_02,ciqual_grp_02,f,t
B01_025,22,23,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Haricot rouge, bouilli/cuit à l'eau dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Red kidney bean, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.570,1.000,1.000,1.000,0.500,0.500,0.678,high,high,3.750000,3.750000,0.833300,ciqual_grp_02,ciqual_grp_02,f,t
B01_026,15,41,direct_swap,"Remplacez Orge perlée, bouilli/cuite à l'eau, sans sel ajouté par Patate douce, cuite dans les usages similaires.","Replace Pearled barley, boiled/cooked in water, no added salt with Sweet potato, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,feculent_base,francaise,"",0.759,0.333,0.000,1.000,0.500,0.500,0.670,high,moderate,1.093750,0.514286,0.666700,ciqual_grp_03,ciqual_grp_02,t,t
B01_027,14,41,direct_swap,"Remplacez Seigle complet, cru par Patate douce, cuite dans les usages similaires.","Replace Rye, wholegrain, raw with Sweet potato, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,feculent_base,francaise,"",0.758,0.333,0.000,1.000,0.500,0.500,0.668,high,moderate,1.066667,0.514286,0.666700,ciqual_grp_03,ciqual_grp_02,t,t
B01_028,24,37,direct_swap,"Remplacez Haricot noir, cuit par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Black beans, cooked with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",legume_principal,francaise,"",0.621,1.000,1.000,0.000,0.500,0.500,0.666,high,high,2.442857,1.125000,0.666700,legumineuses,ciqual_grp_02,f,t
B01_029,34,32,direct_swap,"Remplacez Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue par Cerise douce, crue dans les usages similaires.","Replace Nectarine, white, flesh and skin, pitted, raw with Sweet cherry, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.552,1.000,1.000,1.000,0.500,0.500,0.664,high,high,5.000000,2.933333,0.166700,ciqual_grp_02,fruits,f,t
B01_030,18,20,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Chick pea, canned, drained with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.550,1.000,1.000,1.000,0.500,0.500,0.663,high,high,1.500000,1.400000,0.500000,ciqual_grp_02,ciqual_grp_02,f,t
B01_031,21,20,direct_swap,"Remplacez Lentille brune, cuite par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Brown lentils, cooked with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.550,1.000,1.000,1.000,0.500,0.500,0.663,high,high,1.500000,1.400000,0.500000,legumineuses,ciqual_grp_02,f,t
B01_032,13,12,direct_swap,Remplacez Farine de blé T80 par Farine de blé T65 dans les usages similaires.,Replace Wheat flour T80 with Wheat flour T65 for similar culinary uses.,0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,epaissit,feculent_base,francaise,"",0.685,0.333,1.000,1.000,0.500,0.500,0.663,high,moderate,1.466667,0.933333,0.166700,cereales_et_feculents,cereales_et_feculents,f,t
B01_033,30,29,direct_swap,"Remplacez Pomme, chair et peau, crue par Pistache, crue dans les usages similaires.","Replace Apple, flesh and skin, raw with Pistachio, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.747,0.000,1.000,1.000,0.500,0.500,0.661,high,moderate,3.108333,0.675000,0.166700,ciqual_grp_02,noix_et_graines,t,t
B01_034,32,35,direct_swap,"Remplacez Cerise douce, crue par Prune, sans noyau, crue dans les usages similaires.","Replace Sweet cherry, raw with Plum, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.547,1.000,1.000,1.000,0.500,0.500,0.660,high,high,2.933333,2.800000,0.500000,fruits,ciqual_grp_02,f,t
B01_035,13,14,direct_swap,"Remplacez Farine de blé T80 par Seigle complet, cru dans les usages similaires.","Replace Wheat flour T80 with Rye, wholegrain, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",feculent_base,francaise,"",0.611,1.000,1.000,0.000,0.500,0.500,0.658,high,high,1.466667,1.066667,0.833300,cereales_et_feculents,ciqual_grp_03,f,t
B01_036,9,42,direct_swap,"Remplacez Échalote, bulbe cru par Céleri branche, cru dans les usages similaires.","Replace Shallot, raw bulb with Celery stalk, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,base_aromatique,francaise,"",0.805,0.000,0.000,1.000,0.500,0.500,0.654,high,moderate,5.933333,1.000000,0.666700,legumes_et_verdures,ciqual_grp_02,f,t
B01_037,31,35,direct_swap,"Remplacez Poire, chair et peau, crue par Prune, sans noyau, crue dans les usages similaires.","Replace Pear, flesh and skin, raw with Plum, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.669,0.333,1.000,1.000,0.500,0.500,0.652,high,high,20.200000,2.800000,0.500000,ciqual_grp_02,ciqual_grp_02,f,f
B01_038,10,4,direct_swap,"Remplacez Poireau, partie blanche crue par Oignon, cru dans les usages similaires.","Replace Leek, white part raw with Onion, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",base_aromatique,francaise,"",0.665,1.000,0.000,0.000,0.500,0.500,0.649,high,high,8.114286,1.360000,0.500000,legumes_et_verdures,ciqual_grp_02,f,t
B01_039,34,30,direct_swap,"Remplacez Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue par Pomme, chair et peau, crue dans les usages similaires.","Replace Nectarine, white, flesh and skin, pitted, raw with Apple, flesh and skin, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.597,1.000,0.000,1.000,0.500,0.500,0.648,high,high,5.000000,3.108333,0.500000,ciqual_grp_02,ciqual_grp_02,f,t
