priority_rank,food_slug,subtype_code,amount_raw,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,source_slug,citation_ref,evidence_tier,confidence_score,observed_at,method,quarantine_flag,notes
8,phase2-oignon-nouveau-tiges-vertes,mannitol,<0.1,lt,0.1,30,0.030,yao_2005_polyols,"Yao polyols context + Monash spring onion guidance: conservative mannitol bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_green_tops
8,phase2-oignon-nouveau-tiges-vertes,sorbitol,<0.1,lt,0.1,30,0.030,yao_2005_polyols,"Yao polyols context + Monash spring onion guidance: conservative sorbitol bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_green_tops
10,phase2-poireau-partie-blanche-crue,fructose,0.2,eq,0.2,40,0.080,muir_2007_fructan,"Muir allium context + Monash leek profile: fructan-dominant leek white with limited excess fructose",inferred,0.700,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_leek_white
10,phase2-poireau-partie-blanche-crue,lactose,0,eq,0,40,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
10,phase2-poireau-partie-blanche-crue,mannitol,<0.2,lt,0.2,40,0.080,yao_2005_polyols,"Yao polyols context + Monash leek profile: conservative mannitol bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_leek_white
10,phase2-poireau-partie-blanche-crue,sorbitol,<0.2,lt,0.2,40,0.080,yao_2005_polyols,"Yao polyols context + Monash leek profile: conservative sorbitol bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_leek_white
13,phase2-farine-ble-t80,fructose,<0.03,lt,0.03,40,0.012,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434: fructose/glucose pair supports low excess-fructose bound",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchC_v1:excess_from_ciqual9434
13,phase2-farine-ble-t80,lactose,<0.1,lt,0.1,40,0.040,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 lactose trace",inferred,0.700,2025-11-03,derived_from_nutrient,false,coverage_batchC_v1:exact_ciqual_t80
13,phase2-farine-ble-t80,mannitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0 g/100g",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchC_v1:polyols_zero_inference_t80
13,phase2-farine-ble-t80,sorbitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0 g/100g",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchC_v1:polyols_zero_inference_t80
17,phase2-racine-chicoree,fructose,0,eq,0,30,0.000,biesiekierski_2011_fructan,"Biesiekierski/Muir chicory context: fructan/inulin dominant with negligible excess-fructose signal",inferred,0.650,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_chicory_root
17,phase2-racine-chicoree,lactose,0,eq,0,30,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
27,phase2-soja-graine-entiere-cuite,fructose,0,eq,0,75,0.000,dysseler_hoffem_gos,"Dysseler/Hoffem + Monash soybean context: whole cooked soybean load is GOS-driven with no excess fructose",inferred,0.650,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_soy_cooked
27,phase2-soja-graine-entiere-cuite,lactose,0,eq,0,75,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
27,phase2-soja-graine-entiere-cuite,mannitol,<0.5,lt,0.5,75,0.375,yao_2005_polyols,"Yao polyols context + cooked soybean matrix: conservative mannitol upper bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_soy_cooked
27,phase2-soja-graine-entiere-cuite,sorbitol,<0.5,lt,0.5,75,0.375,yao_2005_polyols,"Yao polyols context + cooked soybean matrix: conservative sorbitol upper bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_soy_cooked
28,phase2-noix-cajou-crue,fructose,0,eq,0,30,0.000,dysseler_hoffem_gos,"Dysseler/Hoffem + Monash cashew profile: raw cashew load is GOS-driven with no excess fructose",inferred,0.650,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_cashew_raw
28,phase2-noix-cajou-crue,lactose,0,eq,0,30,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
28,phase2-noix-cajou-crue,sorbitol,<0.3,lt,0.3,30,0.090,yao_2005_polyols,"Yao polyols context + cashew matrix: conservative sorbitol upper bound",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_cashew_raw
