rule_key,from_priority_rank,to_priority_rank,scoring_version_snapshot,fodmap_safety_score_snapshot,from_level,to_level,from_driver_subtype,to_driver_subtype,from_burden_ratio,to_burden_ratio,to_coverage_ratio,auto_eligible,second_review_required,review_decision,review_reason_code,review_notes,reviewed_by,reviewed_at,second_review_decision,second_reviewed_by,second_reviewed_at
B02_016,14,12,v2_full_rollup_2026_02_19_batch02,0.649,high,moderate,fructan,fructan,1.066667,0.933333,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Seigle->Farine T65. HIGH->MODERATE. Rye has distinctive flavour; instruction should scope to recipes where rye flour is used structurally not for taste.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_017,10,7,v2_full_rollup_2026_02_19_batch02,0.582,high,high,fructan,fructan,8.114286,3.150000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Poireau blanc->Oignon nouveau blanc. Both alliums. Burden drops significantly 8.114->3.150. Target still HIGH but large relative improvement. Low coverage (0.167) - leek and spring onion used differently but overlap in cooked dishes.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_018,22,37,v2_full_rollup_2026_02_19_batch02,0.645,high,high,mannitol,mannitol,3.750000,1.125000,0.666700,t,f,approve,agent_approved,Haricot blanc->Champignon de Paris. Cross-type mannitol swap. Burden drops 3.750->1.125. Same instruction caveat as B02_015.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_019,23,37,v2_full_rollup_2026_02_19_batch02,0.645,high,high,mannitol,mannitol,3.750000,1.125000,0.666700,t,f,approve,agent_approved,Haricot rouge->Champignon de Paris. Cross-type mannitol swap. Same rationale as B02_018.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_020,25,26,v2_full_rollup_2026_02_19_batch02,0.707,high,moderate,gos,gos,2.057143,1.000000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Pois casse->Edamame. HIGH->MODERATE level gain - strongest clinical signal in GOS group. Burden drops 2.057->1.000. Low coverage (0.167) - very different foods. Instruction must be recipe-specific. Strong clinical justification overrides coverage gap.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_021,40,39,v2_full_rollup_2026_02_19_batch02,0.703,high,moderate,mannitol,mannitol,1.181250,1.000000,0.666700,t,f,approve,agent_approved_top_score,"Chou-fleur->Pleurote. HIGH->MODERATE level gain. Both vegetables, plausible in roasted/saute context. Score 0.703, second-highest in batch. Coverage 0.667 adequate.",fabiencampana,2026-02-19T20:00:00Z,,,
B02_022,10,1,v2_full_rollup_2026_02_19_batch02,0.689,high,high,fructan,fructan,8.114286,1.700000,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Poireau blanc->Ail cru. Large burden drop 8.114->1.700. Very high coverage (0.833). Instruction must scope: garlic is a flavouring aromatic used in small quantities, not a direct volume replacement for leek. Both remain HIGH but burden improvement is major.",fabiencampana,2026-02-19T20:00:00Z,,,
B02_023,24,21,v2_full_rollup_2026_02_19_batch02,0.548,high,high,gos,gos,2.442857,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Haricot noir->Lentille brune. Reasonable legume swap. Burden improves 2.443->1.500. Low coverage (0.167) but clinically valid.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_024,24,18,v2_full_rollup_2026_02_19_batch02,0.548,high,high,gos,gos,2.442857,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Haricot noir->Pois chiche. Natural swap. Pois chiche more widely available in French market. Same burden improvement as B02_023.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_025,10,5,v2_full_rollup_2026_02_19_batch02,0.668,high,high,fructan,fructan,8.114286,1.200000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Poireau blanc->Oignon cuit. Excellent culinary match in French cuisine. Burden drops 8.114->1.200. Coverage 0.500 confirms overlap. Strong approve.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_026,10,9,v2_full_rollup_2026_02_19_batch02,0.530,high,high,fructan,fructan,8.114286,5.933333,0.166700,t,t,reject,LOW_CLINICAL_VALUE,Poireau->Echalote: borderline safety 0.530; both deeply HIGH fructan; minimal burden improvement 8.11->5.93; better alternatives exist in batch (B02_025). Agent recommended reject.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_027,25,21,v2_full_rollup_2026_02_19_batch02,0.531,high,high,gos,gos,2.057143,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Pois casse->Lentille brune. Similar culinary use in soups. Burden improves 2.057->1.500. Score 0.531 above floor. Small but real improvement.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_028,25,18,v2_full_rollup_2026_02_19_batch02,0.531,high,high,gos,gos,2.057143,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Pois casse->Pois chiche. Reasonable legume swap. Same burden improvement as B02_027.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_029,9,5,v2_full_rollup_2026_02_19_batch02,0.660,high,high,fructan,fructan,5.933333,1.200000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Echalote->Oignon cuit. Excellent swap in French cooking. Burden drops 5.933->1.200. Coverage 0.500 confirms culinary overlap. Strong approve.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_030,19,38,v2_full_rollup_2026_02_19_batch02,0.586,high,high,mannitol,mannitol,4.166667,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Lentille verte->Shiitake. Cross-type mannitol swap. Very low coverage (0.167) - these are rarely interchangeable in recipes. Burden improves 4.167->1.500. Instruction_fr must be highly specific about context (e.g. hearty side dish substitution).,fabiencampana,2026-02-19T20:00:00Z,,,
B02_031,19,40,v2_full_rollup_2026_02_19_batch02,0.647,high,high,mannitol,mannitol,4.166667,1.181250,0.666700,t,f,approve,agent_approved,Lentille verte->Chou-fleur. Cross-type mannitol swap. Coverage 0.667 better than shiitake alternative. Burden drops 4.167->1.181. Grain bowl/side dish framing recommended in instruction_fr.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_032,23,38,v2_full_rollup_2026_02_19_batch02,0.580,high,high,mannitol,mannitol,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Haricot rouge->Shiitake. Cross-type mannitol swap. Same low-coverage caveat as B02_030. Instruction_fr critical.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_033,22,38,v2_full_rollup_2026_02_19_batch02,0.580,high,high,mannitol,mannitol,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Haricot blanc->Shiitake. Cross-type mannitol swap. Same rationale as B02_032.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_034,24,25,v2_full_rollup_2026_02_19_batch02,0.514,high,high,gos,gos,2.442857,2.057143,0.166700,t,t,reject,LOW_CLINICAL_VALUE,Haricot noir->Pois casse: safety 0.514 barely above floor; minimal burden improvement 2.443->2.057; both HIGH GOS; coverage 0.167; better alternative B02_011 exists. Agent recommended reject.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_035,23,40,v2_full_rollup_2026_02_19_batch02,0.643,high,high,mannitol,mannitol,3.750000,1.181250,0.666700,t,f,approve,agent_approved,Haricot rouge->Chou-fleur. Cross-type mannitol swap. Coverage 0.667 adequate. Burden drops 3.750->1.181. Instruction must specify mannitol context.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_036,22,40,v2_full_rollup_2026_02_19_batch02,0.643,high,high,mannitol,mannitol,3.750000,1.181250,0.666700,t,f,approve,agent_approved,Haricot blanc->Chou-fleur. Cross-type mannitol swap. Same rationale as B02_035.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_037,7,1,v2_full_rollup_2026_02_19_batch02,0.639,high,high,fructan,fructan,3.150000,1.700000,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Oignon nouveau blanc->Ail cru. High coverage (0.833). Burden drops 3.150->1.700. Instruction must address flavour intensity difference: garlic used as aromatic in small quantities vs spring onion as bulk ingredient.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_038,7,5,v2_full_rollup_2026_02_19_batch02,0.633,high,high,fructan,fructan,3.150000,1.200000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Oignon nouveau blanc->Oignon cuit. Excellent culinary match. Cooking reduces fructan. Burden drops 3.150->1.200. Coverage 0.500 confirms overlap. Strong approve.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_039,27,20,v2_full_rollup_2026_02_19_batch02,0.620,high,high,gos,gos,3.000000,1.400000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Soja entier->Lentille corail. Significant burden drop 3.000->1.400. Different textures and uses but coverage 0.500 adequate. Soy is niche in French market; lentil is mainstream. Clinically solid.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_040,27,24,v2_full_rollup_2026_02_19_batch02,0.518,high,high,gos,gos,3.000000,2.442857,0.166700,t,t,reject,LOW_CLINICAL_VALUE,Soja->Haricot noir: safety 0.518 barely above floor; small burden improvement 3.000->2.443; both HIGH GOS; coverage 0.167; better alternative B02_039 exists. Agent recommended reject.,fabiencampana,2026-02-19T20:00:00Z,,,
