rule_key,from_priority_rank,to_priority_rank,scoring_version_snapshot,fodmap_safety_score_snapshot,from_level,to_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,auto_eligible,second_review_required,review_decision,review_reason_code,review_notes,reviewed_by,reviewed_at,second_review_decision,second_reviewed_by,second_reviewed_at
B01_011,19,39,v2_full_rollup_2026_02_19_batch01,0.794,high,moderate,4.166667,1.000000,0.666700,t,f,reject,CROSS_SUBTYPE_CATEGORY,GOS legume → mannitol mushroom; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_012,23,39,v2_full_rollup_2026_02_19_batch01,0.790,high,moderate,3.750000,1.000000,0.666700,t,f,reject,CROSS_SUBTYPE_CATEGORY,GOS legume → mannitol mushroom; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_013,9,4,v2_full_rollup_2026_02_19_batch01,0.656,high,high,5.933333,1.360000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same fructan subtype; shallot→onion; allium family; burden -77%; strong culinary match,fabiencampana,2026-02-19,,,
B01_014,19,21,v2_full_rollup_2026_02_19_batch01,0.586,high,high,4.166667,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank19=lentille verte (GOS, burden 4.17) → rank21=lentille brune (GOS, burden 1.5); same subtype; -64% burden. GOS is definitively the primary FODMAP in legumes (Monash, Dysseler & Hoffem). Coverage 0.167 acceptable: lentils' other FODMAP contributors are negligible vs GOS. Analogue to approved B01_004 (green→red lentil, -66%). Lit: Monash blog legumes 2018; FODMAP Everyday lentils guide Dec 2023.",fabiencampana,2026-02-19,,,
B01_015,19,18,v2_full_rollup_2026_02_19_batch01,0.586,high,high,4.166667,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank19=lentille verte (GOS, burden 4.17) → rank18=pois chiche canned (GOS, burden 1.5); same subtype; -64% burden. Both are GOS legumes. Chickpea canned low FODMAP at 42g/¼ cup (Monash via Health Loft). Coverage 0.167 acceptable for same reasons as B01_014. Intra-legume swap valid. Lit: Monash blog legumes; fullyhealthy.com chickpea guide Sep 2025.",fabiencampana,2026-02-19,,,
B01_016,19,22,v2_full_rollup_2026_02_19_batch01,0.585,high,high,4.166667,3.750000,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same GOS subtype; green lentil→white bean; coverage 0.833; burden -10%; valid intra-legume swap,fabiencampana,2026-02-19,,,
B01_017,7,42,v2_full_rollup_2026_02_19_batch01,0.782,high,moderate,3.150000,1.000000,0.666700,t,t,reject,CROSS_SUBTYPE_UNSAFE,"Rank7=ciboule blanc (fructan HIGH) → rank42=céleri branche (MANNITOL, moderate). Cross-subtype swap: fructan intolerant users could inadvertently ingest mannitol. Monash confirms celery is mannitol-dominant (moderate at 75g, updated Oct 2025, George Eats). Rule is clinically unsafe without explicit per-user subtype-tolerance gating. Lit: Monash mannitol foods; George Eats celery Oct 2025; Gourmend celery Nov 2025.",fabiencampana,2026-02-19,,,
B01_018,23,21,v2_full_rollup_2026_02_19_batch01,0.580,high,high,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank23=haricot rouge (GOS, burden 3.75) → rank21=lentille brune (GOS, burden 1.5); same subtype; -60% burden. GOS primary FODMAP for both. Kidney bean is HIGH GOS at standard serving. Brown lentil much lower. Valid culinary substitution in French cuisine (salads, soups, stews). Lit: Dysseler & Hoffem GOS; Monash blog legumes 2018; FODMAP Everyday lentils.",fabiencampana,2026-02-19,,,
B01_019,22,21,v2_full_rollup_2026_02_19_batch01,0.580,high,high,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank22=haricot blanc (GOS, burden 3.75) → rank21=lentille brune (GOS, burden 1.5); same subtype; -60% burden. White bean is HIGH GOS. Brown lentil lower. Both used in French soups, cassoulet variants. Coverage 0.167 acceptable (GOS primary concern). Lit: Monash legumes; Health Loft bean guide Oct 2025.",fabiencampana,2026-02-19,,,
B01_020,22,18,v2_full_rollup_2026_02_19_batch01,0.580,high,high,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank22=haricot blanc (GOS, burden 3.75) → rank18=pois chiche canned (GOS, burden 1.5); same subtype; -60% burden. White bean → chickpea; GOS reduction confirmed. Both common in French cuisine (hummus, salads, soups). Lit: Monash; fullyhealthy.com chickpea; Health Loft Oct 2025.",fabiencampana,2026-02-19,,,
B01_021,23,18,v2_full_rollup_2026_02_19_batch01,0.580,high,high,3.750000,1.500000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank23=haricot rouge (GOS, burden 3.75) → rank18=pois chiche canned (GOS, burden 1.5); same subtype; -60% burden. Kidney bean → chickpea; -60% GOS reduction. Coverage 0.167 acceptable. Lit: Monash legumes blog 2018; Dysseler & Hoffem GOS.",fabiencampana,2026-02-19,,,
B01_022,38,37,v2_full_rollup_2026_02_19_batch01,0.578,high,high,1.500000,1.125000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same mannitol subtype; shiitake→button mushroom (fresh); burden -25%; culinary match confirmed,fabiencampana,2026-02-19,,,
B01_023,15,14,v2_full_rollup_2026_02_19_batch01,0.574,high,high,1.093750,1.066667,0.833300,t,t,reject,SERVING_SIZE_ARTEFACT,"Rank15=orge perlé (fructan, 75g serving, burden 1.094) → rank14=seigle (fructan, 40g serving, burden 1.067). Burden improvement is -2.5% — below minimum clinically meaningful threshold. More critically: rye contains 4.4-6.6 g fructan/100g (Laatikainen et al. PMC5113694) vs barley 0.9-4.2 g/100g. At equivalent weight, rye typically carries MORE fructans than barley, not less. The apparent improvement is a serving-size artefact (different gram denominators), not a true reduction. Culinary substitution is non-obvious (barley in soups/risotto ≠ rye in bread). Lit: Laatikainen et al. PMC5113694; Biesiekierski 2011; ScienceDirect 2020.",fabiencampana,2026-02-19,,,
B01_024,23,22,v2_full_rollup_2026_02_19_batch01,0.570,high,high,3.750000,3.750000,0.833300,t,t,reject,NO_BURDEN_IMPROVEMENT,Identical burden both directions (3.750=3.750); symmetric artefact; zero clinical benefit,fabiencampana,2026-02-19,,,
B01_025,22,23,v2_full_rollup_2026_02_19_batch01,0.570,high,high,3.750000,3.750000,0.833300,t,t,reject,NO_BURDEN_IMPROVEMENT,Identical burden both directions (3.750=3.750); symmetric artefact; zero clinical benefit,fabiencampana,2026-02-19,,,
B01_026,15,41,v2_full_rollup_2026_02_19_batch01,0.759,high,moderate,1.093750,0.514286,0.666700,t,t,reject,CROSS_SUBTYPE_CATEGORY,Fructan grain → mannitol vegetable; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_027,14,41,v2_full_rollup_2026_02_19_batch01,0.758,high,moderate,1.066667,0.514286,0.666700,t,t,reject,CROSS_SUBTYPE_CATEGORY,Fructan grain → mannitol vegetable; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_028,24,37,v2_full_rollup_2026_02_19_batch01,0.621,high,high,2.442857,1.125000,0.666700,t,t,reject,CROSS_SUBTYPE_CATEGORY,GOS legume → mannitol mushroom; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_029,34,32,v2_full_rollup_2026_02_19_batch01,0.552,high,high,5.000000,2.933333,0.166700,t,t,reject,LOW_COVERAGE_INSUFFICIENT_DATA,Only 1/6 subtypes characterized for target cherry; safety score 0.552 unreliable with 83pct unknown subtypes; dossier ESCALATE resolved as reject,fabiencampana,2026-02-19T18:00:00Z,,,
B01_030,18,20,v2_full_rollup_2026_02_19_batch01,0.550,high,high,1.500000,1.400000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same GOS subtype; chickpea→red lentil; burden -7%; marginal but valid; both common staples,fabiencampana,2026-02-19,,,
B01_031,21,20,v2_full_rollup_2026_02_19_batch01,0.550,high,high,1.500000,1.400000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same GOS subtype; brown→red lentil; burden -7%; marginal but valid intra-legume swap,fabiencampana,2026-02-19,,,
B01_032,13,12,v2_full_rollup_2026_02_19_batch01,0.685,high,moderate,1.466667,0.933333,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank13=farine T80 (fructan, burden 1.467) → rank12=farine T65 (fructan, burden 0.933); same subtype; -36% burden. Fructan concentrates in bran (Biesiekierski 2011). T80 has more bran than T65; lower T-number = less bran = less fructan. Scientifically sound: ScienceDirect 2020 confirms refined wheat flours suitable for low-FODMAP vs wholemeal. Same food family (wheat flour), valid culinary substitution. Coverage 0.167 acceptable: wheat flour's only FODMAP concern is fructan (Monash, Biesiekierski 2011). Lit: Biesiekierski et al. 2011 J Hum Nutr Diet; ScienceDirect doi:10.1016/j.jcs.2020.103004.",fabiencampana,2026-02-19,,,
B01_033,30,29,v2_full_rollup_2026_02_19_batch01,0.747,high,moderate,3.108333,0.675000,0.166700,t,t,reject,CROSS_SUBTYPE_CATEGORY,Sorbitol fruit → GOS nut; pistachio is HIGH FODMAP (GOS+fructan); different category; scoring artefact,fabiencampana,2026-02-19,,,
B01_034,32,35,v2_full_rollup_2026_02_19_batch01,0.547,high,high,2.933333,2.800000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same sorbitol subtype; cherry→plum; burden -5%; marginal improvement but intra-group valid,fabiencampana,2026-02-19,,,
B01_035,13,14,v2_full_rollup_2026_02_19_batch01,0.611,high,high,1.466667,1.066667,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same fructan subtype; T80→rye; grain-to-grain; coverage 0.833; burden -27%; note flavour difference,fabiencampana,2026-02-19,,,
B01_036,9,42,v2_full_rollup_2026_02_19_batch01,0.805,high,moderate,5.933333,1.000000,0.666700,t,t,reject,CROSS_SUBTYPE_UNSAFE,"Rank9=échalote (fructan HIGH, burden 5.933) → rank42=céleri branche (MANNITOL, moderate, burden 1.0). Cross-subtype swap: same issue as B01_017. Shallot is HIGH fructan (Muir 2007, burden 1.78 at 20g). Celery is mannitol-dominant (Monash). Unsafe for fructan+mannitol sensitive users without gating. Lit: Monash alliums blog 2015; George Eats celery Oct 2025.",fabiencampana,2026-02-19,,,
B01_037,31,35,v2_full_rollup_2026_02_19_batch01,0.669,high,high,20.200000,2.800000,0.500000,t,f,approve,VALID_INTRA_GROUP,Same sorbitol subtype; pear→plum; burden -86%; strongest improvement in batch; add source load note,fabiencampana,2026-02-19,,,
B01_038,10,4,v2_full_rollup_2026_02_19_batch01,0.665,high,high,8.114286,1.360000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same fructan subtype; leek white→onion; allium family; burden -83%; large burden reduction,fabiencampana,2026-02-19,,,
B01_039,34,30,v2_full_rollup_2026_02_19_batch01,0.597,high,high,5.000000,3.108333,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same sorbitol subtype; intra-fruit swap; burden -38%; confirm rank 34 identity before activation,fabiencampana,2026-02-19,,,
