priority_rank,food_slug,subtype_code,pass_sequence,source_slug,source_citation,candidate_value,decision,decision_reason,notes
25,pois-casse-bouilli-cuit-a-l-eau,fructan,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20515 (dry split pea)",,block,strict_match_rejected_prep_mismatch,"dry candidate rejected for cooked target"
25,pois-casse-bouilli-cuit-a-l-eau,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20515 fructose+glucose",,block,strict_match_rejected_prep_mismatch,"dry-state mismatch"
25,pois-casse-bouilli-cuit-a-l-eau,mannitol,pass3_ciqual,ciqual_2025,"split-pea candidates are dry/soup forms",,block,strict_match_rejected_prep_mismatch,"prep class mismatch"
25,pois-casse-bouilli-cuit-a-l-eau,sorbitol,pass3_ciqual,ciqual_2025,"split-pea candidates are dry/soup forms",,block,strict_match_rejected_prep_mismatch,"prep class mismatch"
26,phase2-edamame-cuit,fructan,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for cooked edamame",,block,no_strict_ciqual_match,"no strict cooked edamame candidate"
26,phase2-edamame-cuit,fructose,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for cooked edamame",,block,no_strict_ciqual_match,"no strict cooked edamame fructose+glucose pair"
26,phase2-edamame-cuit,mannitol,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for cooked edamame",,block,no_strict_ciqual_match,"no strict cooked edamame total-polyols row"
26,phase2-edamame-cuit,sorbitol,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for cooked edamame",,block,no_strict_ciqual_match,"no strict cooked edamame total-polyols row"
29,phase2-pistache-crue,fructan,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no raw-pistachio fructan numeric composition row"
29,phase2-pistache-crue,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=15009/15044 (roasted pistachio)",,block,strict_match_rejected_prep_mismatch,"roasted candidates rejected for raw target"
29,phase2-pistache-crue,mannitol,pass2_literature,"monash_app_v4_reference|yao_2005_polyols","bibliography sweep",,block,no_literature_numeric_value,"no raw-pistachio mannitol numeric row"
29,phase2-pistache-crue,sorbitol,pass2_literature,"monash_app_v4_reference|yao_2005_polyols","bibliography sweep",,block,no_literature_numeric_value,"no raw-pistachio sorbitol numeric row"
32,phase2-cerise-douce-crue,fructan,pass2_literature,"monash_app_v4_reference|yao_2005_polyols","bibliography sweep",,block,no_literature_numeric_value,"no sweet-cherry fructan numeric row"
32,phase2-cerise-douce-crue,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=13008 fructose+glucose pair",0.0,promote,strict_match_pass,"strict raw sweet-cherry match"
32,phase2-cerise-douce-crue,gos,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no sweet-cherry GOS numeric row"
32,phase2-cerise-douce-crue,mannitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=13008 total polyols 2.8",<=2.8,promote,strict_match_pass,"conservative upper bound from strict raw cherry match"
