priority_rank,food_slug,subtype_code,known_before,measurement_found,source_citation,value_raw,unit,basis,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,method,evidence_tier,confidence_score,quarantine_flag,blocked_reason,notes
8,phase2-oignon-nouveau-tiges-vertes,fructose,false,true,"Monash spring onion green tops profile: low FODMAP serving with no excess-fructose signal",0.05,g_per_100g,per_100g,eq,0.05,30,0.015,literature,inferred,0.700,false,,"Pass2 bibliography supports near-zero excess fructose for green tops"
8,phase2-oignon-nouveau-tiges-vertes,gos,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no green-top specific GOS numeric composition found for explicit ingestion"
8,phase2-oignon-nouveau-tiges-vertes,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,30,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
8,phase2-oignon-nouveau-tiges-vertes,mannitol,false,true,"Yao polyols context + Monash spring onion guidance","<0.1",g_per_100g,per_100g,lt,0.1,30,0.030,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
8,phase2-oignon-nouveau-tiges-vertes,sorbitol,false,true,"Yao polyols context + Monash spring onion guidance","<0.1",g_per_100g,per_100g,lt,0.1,30,0.030,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
10,phase2-poireau-partie-blanche-crue,fructose,false,true,"Muir allium data context + Monash leek profile: fructan-dominant leek white with limited excess fructose",0.2,g_per_100g,per_100g,eq,0.2,40,0.080,literature,inferred,0.700,false,,"Pass2 bibliography supports conservative excess-fructose estimate"
10,phase2-poireau-partie-blanche-crue,gos,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no leek-white GOS numeric composition found for explicit ingestion"
10,phase2-poireau-partie-blanche-crue,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,40,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
10,phase2-poireau-partie-blanche-crue,mannitol,false,true,"Yao polyols context + Monash leek profile","<0.2",g_per_100g,per_100g,lt,0.2,40,0.080,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
10,phase2-poireau-partie-blanche-crue,sorbitol,false,true,"Yao polyols context + Monash leek profile","<0.2",g_per_100g,per_100g,lt,0.2,40,0.080,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
13,phase2-farine-ble-t80,fructose,false,true,"ANSES CIQUAL 2025 alim_code=9434 (Farine de ble T80): fructose/glucose pair indicates low excess-fructose upper bound","<0.03",g_per_100g,per_100g,lt,0.03,40,0.012,derived_from_nutrient,inferred,0.600,false,,"Pass3 strict-match accepted: CIQUAL T80 excess-fructose conservative bound"
13,phase2-farine-ble-t80,gos,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no wheat flour T80 GOS numeric composition found"
13,phase2-farine-ble-t80,lactose,false,true,"ANSES CIQUAL 2025 alim_code=9434 lactose trace level","<0.1",g_per_100g,per_100g,lt,0.1,40,0.040,derived_from_nutrient,inferred,0.700,false,,"Pass3 strict-match accepted: CIQUAL T80 lactose trace"
13,phase2-farine-ble-t80,mannitol,false,true,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0 g/100g",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,inferred,0.600,false,,"Pass3 strict-match accepted: CIQUAL T80 polyols zero inference"
13,phase2-farine-ble-t80,sorbitol,false,true,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0 g/100g",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,inferred,0.600,false,,"Pass3 strict-match accepted: CIQUAL T80 polyols zero inference"
17,phase2-racine-chicoree,fructose,false,true,"Muir/Biesiekierski chicory context: fructan/inulin dominant matrix with negligible excess-fructose signal",0,g_per_100g,per_100g,eq,0,30,0.000,literature,inferred,0.650,false,,"Pass2 bibliography supports zero excess-fructose assumption for chicory root"
17,phase2-racine-chicoree,gos,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no chicory-root GOS numeric composition found"
17,phase2-racine-chicoree,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,30,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
17,phase2-racine-chicoree,mannitol,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no chicory-root mannitol numeric composition found"
17,phase2-racine-chicoree,sorbitol,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no chicory-root sorbitol numeric composition found"
27,phase2-soja-graine-entiere-cuite,fructan,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no whole-cooked-soy fructan numeric composition value promotable"
27,phase2-soja-graine-entiere-cuite,fructose,false,true,"Monash + soybean composition context: cooked soybeans are GOS-driven with no excess-fructose signal",0,g_per_100g,per_100g,eq,0,75,0.000,literature,inferred,0.650,false,,"Pass2 bibliography supports zero excess-fructose assumption for cooked soybeans"
27,phase2-soja-graine-entiere-cuite,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,75,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
27,phase2-soja-graine-entiere-cuite,mannitol,false,true,"Yao polyols context + cooked soy matrix: conservative polyol upper bound","<0.5",g_per_100g,per_100g,lt,0.5,75,0.375,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
27,phase2-soja-graine-entiere-cuite,sorbitol,false,true,"Yao polyols context + cooked soy matrix: conservative polyol upper bound","<0.5",g_per_100g,per_100g,lt,0.5,75,0.375,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
28,phase2-noix-cajou-crue,fructan,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no raw-cashew fructan numeric composition value promotable"
28,phase2-noix-cajou-crue,fructose,false,true,"Monash cashew profile + Dysseler GOS context: cashew load is GOS-driven with no excess-fructose signal",0,g_per_100g,per_100g,eq,0,30,0.000,literature,inferred,0.650,false,,"Pass2 bibliography supports zero excess-fructose assumption for raw cashew"
28,phase2-noix-cajou-crue,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,30,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
28,phase2-noix-cajou-crue,mannitol,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed; no raw-cashew mannitol numeric composition found"
28,phase2-noix-cajou-crue,sorbitol,false,true,"Yao polyols context + cashew matrix: conservative sorbitol upper bound","<0.3",g_per_100g,per_100g,lt,0.3,30,0.090,literature,inferred,0.600,false,,"Pass2 literature-derived conservative sorbitol upper bound"
